image_path,image_size,image_spacing
/mnt/scratch/data/Totalsegmentator_dataset/s0107/ct.nii.gz,"(499, 154, 333)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1366/ct.nii.gz,"(333, 333, 336)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1203/ct.nii.gz,"(184, 184, 133)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0466/ct.nii.gz,"(173, 173, 143)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0487/ct.nii.gz,"(214, 214, 203)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1244/ct.nii.gz,"(245, 245, 319)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0937/ct.nii.gz,"(253, 253, 548)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1190/ct.nii.gz,"(221, 221, 242)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0594/ct.nii.gz,"(217, 217, 121)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0702/ct.nii.gz,"(221, 221, 379)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1044/ct.nii.gz,"(257, 257, 459)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0216/ct.nii.gz,"(288, 288, 179)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0885/ct.nii.gz,"(259, 259, 448)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0032/ct.nii.gz,"(221, 221, 216)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0271/ct.nii.gz,"(221, 221, 255)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0278/ct.nii.gz,"(63, 123, 130)","(1.4999998807907104, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1183/ct.nii.gz,"(254, 216, 335)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0132/ct.nii.gz,"(305, 305, 52)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1334/ct.nii.gz,"(221, 221, 510)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0340/ct.nii.gz,"(163, 163, 100)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1047/ct.nii.gz,"(129, 129, 62)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0502/ct.nii.gz,"(215, 215, 402)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0326/ct.nii.gz,"(217, 168, 217)","(1.4999998807907104, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1391/ct.nii.gz,"(270, 270, 335)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0043/ct.nii.gz,"(134, 159, 159)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1115/ct.nii.gz,"(136, 136, 173)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0139/ct.nii.gz,"(280, 280, 285)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0199/ct.nii.gz,"(331, 331, 62)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0940/ct.nii.gz,"(231, 231, 439)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0391/ct.nii.gz,"(193, 193, 112)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0711/ct.nii.gz,"(213, 213, 433)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1321/ct.nii.gz,"(275, 275, 540)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1121/ct.nii.gz,"(281, 281, 519)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0491/ct.nii.gz,"(173, 170, 173)","(1.4999998807907104, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0440/ct.nii.gz,"(255, 255, 422)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0641/ct.nii.gz,"(253, 253, 204)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1347/ct.nii.gz,"(263, 264, 286)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0367/ct.nii.gz,"(212, 212, 205)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0770/ct.nii.gz,"(245, 189, 195)","(1.5000001192092896, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1386/ct.nii.gz,"(247, 247, 331)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0383/ct.nii.gz,"(247, 145, 385)","(1.5, 1.5000001192092896, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1316/ct.nii.gz,"(256, 256, 43)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0285/ct.nii.gz,"(333, 333, 181)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0265/ct.nii.gz,"(261, 261, 44)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0528/ct.nii.gz,"(183, 183, 147)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1239/ct.nii.gz,"(221, 221, 128)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0567/ct.nii.gz,"(161, 161, 112)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0333/ct.nii.gz,"(219, 219, 217)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0729/ct.nii.gz,"(197, 155, 206)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1154/ct.nii.gz,"(201, 201, 239)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0515/ct.nii.gz,"(205, 205, 176)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0666/ct.nii.gz,"(259, 259, 56)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1100/ct.nii.gz,"(231, 231, 286)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1401/ct.nii.gz,"(244, 244, 179)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0048/ct.nii.gz,"(236, 182, 140)","(1.5, 1.5, 1.5000001192092896)"
/mnt/scratch/data/Totalsegmentator_dataset/s1372/ct.nii.gz,"(236, 236, 428)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0602/ct.nii.gz,"(248, 165, 419)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0331/ct.nii.gz,"(253, 253, 209)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0153/ct.nii.gz,"(248, 195, 299)","(1.5, 1.5000001192092896, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1094/ct.nii.gz,"(227, 227, 183)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0945/ct.nii.gz,"(285, 285, 399)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0866/ct.nii.gz,"(236, 236, 256)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0869/ct.nii.gz,"(261, 261, 459)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0001/ct.nii.gz,"(249, 188, 213)","(1.4999998807907104, 1.5, 1.4999998807907104)"
/mnt/scratch/data/Totalsegmentator_dataset/s0190/ct.nii.gz,"(257, 257, 237)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1140/ct.nii.gz,"(253, 253, 233)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1335/ct.nii.gz,"(124, 124, 123)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0381/ct.nii.gz,"(219, 219, 192)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1279/ct.nii.gz,"(172, 172, 57)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0677/ct.nii.gz,"(276, 276, 145)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1348/ct.nii.gz,"(239, 239, 437)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0241/ct.nii.gz,"(257, 257, 171)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0482/ct.nii.gz,"(241, 241, 265)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0080/ct.nii.gz,"(306, 306, 233)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0744/ct.nii.gz,"(109, 92, 111)","(1.5000001192092896, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0549/ct.nii.gz,"(305, 305, 461)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0179/ct.nii.gz,"(248, 248, 247)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0560/ct.nii.gz,"(207, 207, 150)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0165/ct.nii.gz,"(304, 304, 91)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0468/ct.nii.gz,"(233, 233, 838)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0494/ct.nii.gz,"(233, 233, 435)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0921/ct.nii.gz,"(259, 259, 94)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0815/ct.nii.gz,"(253, 253, 267)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0660/ct.nii.gz,"(202, 202, 252)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0011/ct.nii.gz,"(311, 311, 431)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0650/ct.nii.gz,"(333, 333, 462)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0876/ct.nii.gz,"(119, 119, 95)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1067/ct.nii.gz,"(221, 221, 211)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0423/ct.nii.gz,"(272, 272, 441)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0842/ct.nii.gz,"(245, 245, 450)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1114/ct.nii.gz,"(187, 187, 174)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1241/ct.nii.gz,"(317, 317, 163)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1327/ct.nii.gz,"(221, 221, 198)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0708/ct.nii.gz,"(235, 235, 404)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0235/ct.nii.gz,"(202, 163, 245)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1252/ct.nii.gz,"(276, 120, 506)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0022/ct.nii.gz,"(295, 295, 250)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0310/ct.nii.gz,"(235, 235, 184)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0645/ct.nii.gz,"(219, 219, 173)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1260/ct.nii.gz,"(135, 135, 113)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0133/ct.nii.gz,"(307, 307, 301)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0083/ct.nii.gz,"(156, 156, 124)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0342/ct.nii.gz,"(233, 233, 284)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0832/ct.nii.gz,"(257, 257, 104)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0792/ct.nii.gz,"(125, 152, 109)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0056/ct.nii.gz,"(179, 179, 139)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0463/ct.nii.gz,"(221, 221, 216)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0218/ct.nii.gz,"(265, 265, 273)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1292/ct.nii.gz,"(221, 221, 271)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0123/ct.nii.gz,"(267, 194, 213)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0250/ct.nii.gz,"(307, 307, 301)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0928/ct.nii.gz,"(282, 282, 417)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1013/ct.nii.gz,"(221, 221, 268)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0517/ct.nii.gz,"(270, 270, 213)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0304/ct.nii.gz,"(234, 231, 231)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0843/ct.nii.gz,"(97, 48, 87)","(1.5, 1.5000001192092896, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1079/ct.nii.gz,"(234, 234, 190)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0437/ct.nii.gz,"(294, 180, 294)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0564/ct.nii.gz,"(215, 215, 152)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1046/ct.nii.gz,"(268, 175, 437)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0045/ct.nii.gz,"(231, 231, 306)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0751/ct.nii.gz,"(292, 192, 527)","(1.5, 1.5, 1.5000001192092896)"
/mnt/scratch/data/Totalsegmentator_dataset/s0771/ct.nii.gz,"(310, 310, 247)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0354/ct.nii.gz,"(247, 247, 238)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0358/ct.nii.gz,"(255, 255, 523)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0523/ct.nii.gz,"(242, 242, 160)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1277/ct.nii.gz,"(251, 251, 164)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0185/ct.nii.gz,"(98, 98, 93)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0518/ct.nii.gz,"(145, 145, 236)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0061/ct.nii.gz,"(233, 194, 202)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0911/ct.nii.gz,"(109, 109, 147)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0864/ct.nii.gz,"(286, 286, 391)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1041/ct.nii.gz,"(237, 237, 232)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0100/ct.nii.gz,"(91, 91, 121)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1043/ct.nii.gz,"(164, 164, 157)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0871/ct.nii.gz,"(200, 200, 169)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0867/ct.nii.gz,"(103, 160, 133)","(1.5, 1.5000001192092896, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1150/ct.nii.gz,"(167, 167, 101)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1262/ct.nii.gz,"(221, 221, 274)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0732/ct.nii.gz,"(257, 257, 130)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0611/ct.nii.gz,"(207, 121, 169)","(1.5000001192092896, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1285/ct.nii.gz,"(233, 233, 263)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0691/ct.nii.gz,"(329, 329, 280)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0629/ct.nii.gz,"(244, 244, 440)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1170/ct.nii.gz,"(131, 89, 311)","(1.5, 1.5, 1.5000001192092896)"
/mnt/scratch/data/Totalsegmentator_dataset/s0557/ct.nii.gz,"(218, 210, 191)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0490/ct.nii.gz,"(237, 237, 193)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0513/ct.nii.gz,"(307, 307, 342)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0103/ct.nii.gz,"(178, 178, 117)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0639/ct.nii.gz,"(313, 208, 425)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1171/ct.nii.gz,"(333, 333, 544)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0681/ct.nii.gz,"(203, 203, 167)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0979/ct.nii.gz,"(432, 193, 349)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0632/ct.nii.gz,"(281, 281, 220)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1035/ct.nii.gz,"(203, 123, 219)","(1.5, 1.5, 1.5000001192092896)"
/mnt/scratch/data/Totalsegmentator_dataset/s0881/ct.nii.gz,"(112, 112, 135)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0085/ct.nii.gz,"(135, 135, 95)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0288/ct.nii.gz,"(111, 111, 152)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0944/ct.nii.gz,"(303, 127, 303)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0860/ct.nii.gz,"(332, 207, 449)","(1.4999998807907104, 1.4999998807907104, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0446/ct.nii.gz,"(239, 239, 427)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0221/ct.nii.gz,"(103, 103, 193)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0069/ct.nii.gz,"(305, 305, 116)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1053/ct.nii.gz,"(163, 163, 278)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0978/ct.nii.gz,"(249, 165, 208)","(1.5000001192092896, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0595/ct.nii.gz,"(125, 125, 128)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0305/ct.nii.gz,"(319, 319, 98)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1192/ct.nii.gz,"(228, 228, 226)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1004/ct.nii.gz,"(221, 221, 156)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0314/ct.nii.gz,"(299, 299, 273)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0379/ct.nii.gz,"(135, 95, 126)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1400/ct.nii.gz,"(271, 271, 459)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0901/ct.nii.gz,"(123, 123, 152)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0292/ct.nii.gz,"(148, 148, 233)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1309/ct.nii.gz,"(275, 275, 311)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0160/ct.nii.gz,"(321, 321, 95)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0697/ct.nii.gz,"(221, 221, 264)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1384/ct.nii.gz,"(329, 329, 523)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0204/ct.nii.gz,"(290, 236, 321)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1337/ct.nii.gz,"(280, 280, 231)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1247/ct.nii.gz,"(259, 259, 431)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0157/ct.nii.gz,"(314, 314, 261)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0530/ct.nii.gz,"(236, 135, 166)","(1.5000001192092896, 1.4999998807907104, 1.5000001192092896)"
/mnt/scratch/data/Totalsegmentator_dataset/s1325/ct.nii.gz,"(124, 117, 77)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1318/ct.nii.gz,"(236, 236, 100)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0754/ct.nii.gz,"(376, 202, 649)","(1.5000001192092896, 1.4999998807907104, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0088/ct.nii.gz,"(311, 311, 90)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0788/ct.nii.gz,"(225, 225, 267)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0960/ct.nii.gz,"(220, 220, 248)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0410/ct.nii.gz,"(151, 151, 75)","(1.5, 1.5, 1.5)"
